표준산업분류,대분류,중분류,소분류,세분류,세세분류
1110,"농업, 임업 및 어업",농업,작물 재배업,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업
1121,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업
1122,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업
1123,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업
1131,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업
1132,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업
1140,"농업, 임업 및 어업",농업,작물 재배업,기타 작물 재배업,기타 작물 재배업
1151,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,콩나물 재배업
1152,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업"
1159,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,기타 시설작물 재배업
1212,"농업, 임업 및 어업",농업,축산업,소 사육업,육우 사육업
1291,"농업, 임업 및 어업",농업,축산업,기타 축산업,말 및 양 사육업
1299,"농업, 임업 및 어업",농업,축산업,기타 축산업,그 외 기타 축산업
1211,"농업, 임업 및 어업",농업,축산업,소 사육업,젖소 사육업
1220,"농업, 임업 및 어업",농업,축산업,양돈업,양돈업
1231,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,양계업
1239,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,기타 가금류 및 조류 사육업
1420,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,축산 관련 서비스업,축산 관련 서비스업
1300,"농업, 임업 및 어업",농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업
1411,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,작물재배 관련 서비스업,작물재배 지원 서비스업
